orthogroup	CNV
0at7399	0.0
1at7399	0.24266086899999997
2at7399	0.24266086899999997
5at7399	0.291661041
7at7399	0.46088121600000004
13at7399	0.560990859
14at7399	0.15058465
15at7399	0.20538978800000002
17at7399	0.0
18at7399	0.272727273
28at7399	0.275166502
31at7399	0.15058465
32at7399	0.15058465
35at7399	0.0
49at7399	0.0
54at7399	0.174239063
57at7399	0.339411255
60at7399	0.0
61at7399	0.20538978800000002
67at7399	0.461880215
78at7399	0.20538978800000002
82at7399	0.15058465
84at7399	0.0
85at7399	0.0
86at7399	0.0
88at7399	0.152317024
90at7399	0.255124984
92at7399	0.0
102at7399	0.20538978800000002
103at7399	0.207566616
104at7399	0.15058465
105at7399	0.321401743
108at7399	0.0
110at7399	0.255124984
112at7399	0.20538978800000002
116at7399	0.15411035
117at7399	0.17371499399999998
118at7399	0.15058465
120at7399	0.425523159
123at7399	0.245015204
128at7399	0.199524636
131at7399	0.0
133at7399	0.0
138at7399	0.20538978800000002
143at7399	0.159894048
148at7399	0.0
150at7399	0.207566616
152at7399	0.0
156at7399	0.430994124
159at7399	0.15058465
160at7399	0.337016686
166at7399	0.351878566
167at7399	0.0
170at7399	0.159894048
171at7399	0.20538978800000002
175at7399	0.15058465
178at7399	0.15058465
188at7399	0.207566616
190at7399	0.24266086899999997
191at7399	0.15058465
193at7399	0.0
198at7399	0.15058465
200at7399	0.171163299
205at7399	0.318181818
216at7399	0.159894048
218at7399	0.0
219at7399	0.0
221at7399	0.0
222at7399	0.0
223at7399	0.15789473699999998
226at7399	0.0
227at7399	0.27034500100000003
232at7399	0.15058465
233at7399	0.318181818
239at7399	0.0
241at7399	0.0
244at7399	0.0
246at7399	0.24743583
249at7399	0.0
251at7399	0.0
259at7399	0.15058465
260at7399	0.294165364
261at7399	0.15058465
264at7399	0.20538978800000002
265at7399	0.24266086899999997
266at7399	0.207566616
267at7399	0.20538978800000002
268at7399	0.20538978800000002
274at7399	0.15058465
279at7399	0.0
281at7399	0.0
282at7399	0.0
285at7399	0.318181818
290at7399	0.0
292at7399	0.0
297at7399	0.15058465
301at7399	0.152317024
302at7399	0.0
306at7399	0.15058465
308at7399	0.769467328
310at7399	0.152317024
311at7399	0.0
317at7399	0.15058465
319at7399	0.36461452899999997
321at7399	0.20538978800000002
324at7399	0.15058465
335at7399	0.15058465
341at7399	0.0
342at7399	0.0
343at7399	0.24266086899999997
346at7399	0.24266086899999997
349at7399	0.34523170299999995
352at7399	0.152317024
359at7399	0.318181818
371at7399	0.21956860600000003
376at7399	0.0
378at7399	0.0
381at7399	0.152317024
382at7399	0.214528212
