orthogroup	UNI	DUP	ACN	CNV
MZ22500000	1.0	0.05263157894736842	1.0526315789473684	0.2179449471770337
MZ22500003	0.9473684210526316	0.0	1.0	0.0
MZ22500004	0.9473684210526316	0.1111111111111111	1.1111111111111112	0.2910427500435996
MZ22500007	1.0	0.05263157894736842	1.0526315789473684	0.2179449471770337
MZ22500009	1.0	0.21052631578947367	1.2105263157894737	0.3460097503279224
MZ22500010	1.0	0.05263157894736842	1.1052631578947372	0.4151332327181594
MZ22500012	1.0	0.15789473684210525	1.2105263157894737	0.4422071391997784
MZ22500013	1.0	0.7894736842105263	1.8421052631578947	0.27222106529440865
MZ22500017	1.0	0.10526315789473684	1.1052631578947372	0.28527302786684805
MZ22500019	0.9473684210526316	0.1111111111111111	1.1111111111111112	0.2910427500435996
MZ22500020	1.0	0.05263157894736842	1.0526315789473684	0.2179449471770337
MZ22500022	1.0	0.0	1.0	0.0
MZ22500024	1.0	0.15789473684210525	1.263157894736842	0.5172562347093353
MZ22500025	1.0	0.0	1.0	0.0
MZ22500026	1.0	0.0	1.0	0.0
MZ22500028	1.0	0.15789473684210525	1.1578947368421053	0.32354782581913066
MZ22500029	1.0	0.2631578947368421	1.3157894736842106	0.4426184712719421
MZ22500030	1.0	0.0	1.0	0.0
MZ22500032	0.9473684210526316	0.0	1.0	0.0
MZ22500033	0.8421052631578947	0.0625	1.0625	0.2352941176470588
MZ22500036	0.8947368421052632	0.0	1.0	0.0
MZ22500038	1.0	0.0	1.0	0.0
MZ22500040	1.0	0.05263157894736842	1.0526315789473684	0.2179449471770337
MZ22500041	0.9473684210526316	0.05555555555555555	1.0555555555555556	0.2232968782694361
MZ22500043	0.9473684210526316	0.3333333333333333	1.3888888888888888	0.4375331920182137
MZ22500045	1.0	0.10526315789473684	1.2105263157894737	0.589233372471192
MZ22500047	0.8947368421052632	0.05882352941176471	1.0588235294117647	0.2290614236454256
MZ22500048	0.9473684210526316	0.6666666666666666	1.8333333333333333	0.38569460791993504
MZ22500049	1.0	0.0	1.0	0.0
MZ22500052	1.0	0.0	1.0	0.0
MZ22500053	1.0	0.05263157894736842	1.0526315789473684	0.2179449471770337
MZ22500054	0.9473684210526316	0.5	1.6666666666666667	0.5041008302500835
